School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
BELLMORE UNION FREE SCHOOL,SHORE ROAD SCHOOL,Nassau,Public School,126,No,28,0,0,98,Yes,02/02/2017,126,0,Yes,Yes,12/05/2017,www.bellmoreschools.org,280207020002,2801 SHORE RD,BELLMORE,NY,11710,12/06/2017,10/22/2018,"(40.715749, -73.601185)","2801 SHORE RD
BELLMORE, NY 11710
(40.65283485500004, -73.53262519199995)"
DUNKIRK CITY SCHOOL DISTRICT,SCHOOL  3,Chautauqua,Public School,40,No,0,0,0,40,Yes,09/27/2016,37,3,Yes,Yes,10/14/2016,www.dunkirkcsd.org,060800010003,742 LAMPHERE ST,DUNKIRK,NY,14048,11/04/2016,11/04/2016,"(42.246904, -79.315313)","742 LAMPHERE ST
DUNKIRK, NY 14048
(42.47684254100005, -79.32278797999999)"
AMITYVILLE UNION FREE SCHOOL,EDMUND MILES MIDDLE SCHOOL,Suffolk,Public School,21,No,21,0,0,0,Yes,05/21/2016,21,0,Yes,Yes,09/21/2016,http://www.amityvilleufsd.org,580106030004,501 ROUTE 110/BROADWAY,AMITYVILLE,NY,11701,10/31/2018,10/12/2018,"(40.820237, -73.119032)","501 ROUTE 110/BROADWAY
AMITYVILLE, NY 11701
(40.68559800000003, -73.41866999999996)"
BOCES No District Name,DUTCHESS BOCES ALTERNATIVE HIGH SCHOOL @ BETA CAMPUS,Dutchess,BOCES School,35,No,0,0,0,35,Yes,10/28/2016,31,4,Yes,Yes,11/30/2016,http://www.dcboces.org/,139000000000,900 DUTCHESS TURNPIKE,POUGHKEEPSIE,NY,12603,11/10/2016,12/06/2016,"(41.686216, -73.840468)","900 DUTCHESS TURNPIKE
POUGHKEEPSIE, NY 12603
(41.706938283000056, -73.86813358199998)"
ADIRONDACK CENT SCH-BOONVILLE,FORESTPORT ELEM SCHOOL,Oneida,Public School,21,No,4,0,0,17,Yes,10/28/2016,21,0,No,Yes,03/06/2017,www.adirondackcsd.org,410401060003,10275 STATE ROUTE 28,FORESTPORT,NY,13338,11/04/2016,03/09/2017,"(43.149482, -75.361773)","10275 STATE ROUTE 28
FORESTPORT, NY 13338
(43.432186322000064, -75.21292266299997)"
BALDWINSVILLE CENTRAL SCHOOL,VAN BUREN ELEMENTARY SCHOOL,Onondaga,Public School,49,No,0,0,0,49,Yes,05/10/2017,33,16,Yes,Yes,05/10/2017,https://www.bville.org/teacherpage.cfm?teacher=953,420901060005,20 FORD ST,BALDWINSVILLE,NY,13027,09/27/2018,09/27/2018,"(43.065629, -76.168033)","20 FORD ST
BALDWINSVILLE, NY 13027
(43.154088810000076, -76.34306452599998)"
BEDFORD CENTRAL SCHOOL,WEST PATENT ELEM SCHOOL,Westchester,Public School,145,No,0,0,0,107,Yes,11/04/2016,126,19,Yes,Yes,11/04/2016,bcsdny.org,660102060007,80 WEST PATENT RD,BEDFORD HILLS,NY,10507,10/12/2018,09/26/2018,"(41.039278, -73.805386)","80 WEST PATENT RD
BEDFORD HILLS, NY 10507
(41.218500680000034, -73.70077450699995)"
CLEVELAND HILL UNION FREE SCHOOL,CLEVELAND HILL HS,Erie,Public School,52,No,0,0,0,52,Yes,10/31/2016,52,0,No,Yes,10/31/2016,www.clevehill.wnyric.org,140703020003,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,11/08/2016,11/08/2016,"(42.888143, -78.795544)","105 MAPLEVIEW RD
CHEEKTOWAGA, NY 14225
(42.94146670200007, -78.78284503199995)"
BOCES No District Name,WESTCHESTER BOCES CAREER CAMPUS BUILDING C (LEAD ONLY),Westchester,BOCES School,6,No,6,0,0,0,Yes,04/16/2016,6,0,No,Yes,04/20/2016,http://www.swboces.org/operations_and_maintenance,669000000051,65 GRASSLANDS ROAD,VALHALLA,NY,10595,01/22/2018,01/22/2018,"(41.039278, -73.805386)","65 GRASSLANDS ROAD
VALHALLA, NY 10595
(41.07008484500005, -73.78431357099998)"
ARGYLE CENTRAL SCHOOL,ARGYLE CENTRAL SCHOOL,Washington,Public School,134,No,0,0,0,134,Yes,09/24/2016,80,54,Yes,Yes,11/08/2016,www.argylecsd.org,640101040001,5023 STATE RT 40,ARGYLE,NY,12809,02/06/2017,11/10/2016,"(43.289513, -73.454761)","5023 STATE RT 40
ARGYLE, NY 12809
(43.240808885000035, -73.48353004799998)"
CARTHAGE CENTRAL SCHOOL,BLACK RIVER SCHOOL,Jefferson,Public School,148,No,92,0,0,56,Yes,10/05/2016,148,0,Yes,Yes,03/08/2017,http://www.carthagecsd.org/,222201060002,160 LERAY ST,BLACK RIVER,NY,13612,10/14/2016,09/25/2018,"(44.019295, -75.898971)","160 LERAY ST
BLACK RIVER, NY 13612
(44.01494086900004, -75.79919811599996)"
BOCES No District Name,NASSAU BOCES,Nassau,BOCES School,791,No,27,0,0,380,Yes,09/24/2016,27,4,Yes,No,,www.nassauboces.org,289000000000,71 CLINTON RD,GARDEN CITY,NY,11530,11/09/2016,11/09/2016,"(40.715749, -73.601185)","71 CLINTON RD
GARDEN CITY, NY 11530
(40.729618782000045, -73.62000935199995)"
BOCES No District Name,CLINTON-ESSEX-WARREN-WASHINGTON BOCES SOUTH HANGAR (LEAD ONLY),Clinton,BOCES School,,No,,,,,No,,,,No,No,,,099000008024,518 RUGAR STREET,PLATTSBURGH,NY,12901,,,"(44.731944, -73.548883)","518 RUGAR STREET
PLATTSBURGH, NY 12901
(44.68588892100007, -73.50743886099997)"
BOCES No District Name,WESTERN SUFFOLK BOCES WILSON TECH DIX HILLS JONES HALL 1 (LEAD ONLY),Suffolk,BOCES School,3,No,3,0,0,0,Yes,11/17/2016,3,0,Yes,Yes,06/12/2017,http://www.wsboces.org/update-water-testing/,589300000022,17 WESTMINSTER AVE,DIX HILLS,NY,11746,10/12/2018,10/11/2018,"(40.820237, -73.119032)","17 WESTMINSTER AVE
DIX HILLS, NY 11746
(40.79711782700008, -73.33561555799997)"
CORTLAND CITY SCHOOLS,FRANKLYN S BARRY ELEM SCHOOL,Cortland,Public School,93,No,0,0,0,93,Yes,04/30/2018,91,2,Yes,Yes,04/30/2018,cortlandschools.org,110200010003,20 RAYMOND AVE,CORTLAND,NY,13045,09/27/2018,09/27/2018,"(42.597101, -76.143291)","20 RAYMOND AVE
CORTLAND, NY 13045
(42.587599485000055, -76.19207057799997)"
BYRAM HILLS CENTRAL SCHOOL,WAMPUS SCHOOL,Westchester,Public School,94,No,0,0,0,94,Yes,09/17/2016,74,20,Yes,Yes,09/22/2016,byramhills.org,661201060005,41 WAMPUS AVE,ARMONK,NY,10504,11/01/2018,11/02/2018,"(41.039278, -73.805386)","41 WAMPUS AVE
ARMONK, NY 10504
(41.129879180000046, -73.70972386799997)"
GARDEN CITY UNION FREE SCHOOL,GARDEN CITY MIDDLE,Nassau,Public School,33,No,18,0,0,15,Yes,11/16/2016,33,0,Yes,Yes,05/24/2017,www.gardencity.k12.ny.us,280218030006,98 CHERRY VALLEY AVE,GARDEN CITY,NY,11530,10/10/2018,10/10/2018,"(40.715749, -73.601185)","98 CHERRY VALLEY AVE
GARDEN CITY, NY 11530
(40.726487693000024, -73.64227060599995)"
COXSACKIE- ATHENS C S,COXSACKIE-ATHENS MIDDLE SCHOOL,Greene,Public School,32,No,32,0,0,0,Yes,06/02/2016,32,0,Yes,Yes,08/15/2016,www.cacsd.org,190501040004,SUNSET BOULEVARD,COXSACKIE,NY,12051,12/02/2016,12/02/2016,"(42.298326, -73.973376)","SUNSET BOULEVARD
COXSACKIE, NY 12051
(42.35067655600005, -73.80923854399998)"
BOCES No District Name,OTSEGO-DELAWARE-SCHOHARIE-GREENE BOCES NCOC (LEAD ONLY),Greene,BOCES School,36,No,0,0,0,36,Yes,09/06/2017,36,0,Yes,Yes,10/04/2017,oncboces.org,199000000018,2020 JUMP BROOK ROAD,GRAND GORGE,NY,12434,11/14/2018,11/14/2018,"(42.298326, -73.973376)","2020 JUMP BROOK ROAD
GRAND GORGE, NY 12434
(42.370289644000025, -74.50901103699994)"
BOCES No District Name,JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES HOWARD SACKETT CTR (LEAD ONLY),Jefferson,BOCES School,61,No,0,0,0,61,Yes,10/28/2016,60,1,Yes,Yes,05/31/2017,www.boces.org,229000000009,5836 STATE ROUTE 12,GLENFIELD,NY,13343,11/01/2018,11/01/2018,"(44.019295, -75.898971)","5836 STATE ROUTE 12
GLENFIELD, NY 13343
(43.715231337000034, -75.41022647099999)"
BOCES No District Name,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES (LEAD ONLY),Albany,BOCES School,17,No,0,0,0,17,Yes,02/02/2018,17,0,Yes,Yes,03/26/2018,https://www.capitalregionboces.org/,019000000001,NYS ROUTE 30A,SCHOHARIE,NY,12157,10/11/2018,10/11/2018,"(42.678066, -73.814233)","NYS ROUTE 30A
SCHOHARIE, NY 12157
(42.704026568000074, -74.31090317299999)"
BOCES No District Name,PUTNAM NORTHERN WESTCHESTER BOCES FM BUILDING 2 (LEAD ONLY),Putnam,BOCES School,,No,,,,,No,,,,No,No,,,489000000022,845 FOX MEADOW ROAD,YORKTOWN HEIGHTS,NY,10598,,,"(41.41131, -73.717443)","845 FOX MEADOW ROAD
YORKTOWN HEIGHTS, NY 10598
(41.29762995400006, -73.81145818399995)"
CHEEKTOWAGA CENTRAL SCHOOL,CHEEKTOWAGA MIDDLE SCHOOL,Erie,Public School,102,No,0,0,0,102,Yes,09/29/2016,88,14,Yes,Yes,10/13/2016,www.cheektowagak12.org,140701060007,3600 UNION RD,CHEEKTOWAGA,NY,14225,11/09/2016,11/09/2016,"(42.888143, -78.795544)","3600 UNION RD
CHEEKTOWAGA, NY 14225
(42.91150324300003, -78.75427903699995)"
DOLGEVILLE CTR,JAMES A GREEN HIGH SCHOOL,Herkimer,Public School,87,No,0,0,0,87,Yes,10/26/2016,57,30,Yes,Yes,10/26/2016,www.dolgeville.org,211003040002,38 SLAWSON ST,DOLGEVILLE,NY,13329,11/08/2016,11/09/2016,"(43.070026, -74.994246)","38 SLAWSON ST
DOLGEVILLE, NY 13329
(43.102013243000044, -74.77586823299998)"
ALBANY CITY SCHOOL DISTRICT,MYERS MIDDLE SCHOOL,Albany,Public School,161,No,0,0,0,161,Yes,10/08/2016,145,16,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010045,100 EBEL CT,ALBANY,NY,12201,11/16/2016,12/07/2016,"(42.678066, -73.814233)","100 EBEL CT
ALBANY, NY 12201
(42.699400000000026, -73.81764999999996)"
DEER PARK UNION FREE SCHOOL,ROBERT FROST JUNIOR HIGH SCHOOL,Suffolk,Public School,33,No,29,0,0,4,Yes,08/16/2017,33,0,Yes,Yes,11/20/2017,deerparkschools.org,580107030009,450 HALF HOLLOW RD,DEER PARK,NY,11729,10/05/2018,10/05/2018,"(40.820237, -73.119032)","450 HALF HOLLOW RD
DEER PARK, NY 11729
(40.76504209500007, -73.34482758099995)"
CARLE PLACE UNION FREE SCHOOL,RUSHMORE AVENUE SCHOOL,Nassau,Public School,20,No,3,0,0,17,Yes,08/31/2018,20,0,Yes,Yes,09/06/2018,www.cps.k12.ny.us,280411030002,251 RUSHMORE AVE,CARLE PLACE,NY,11514,10/09/2018,10/09/2018,"(40.715749, -73.601185)","251 RUSHMORE AVE
CARLE PLACE, NY 11514
(40.75097026900005, -73.60901025399994)"
CAZENOVIA CENTRAL SCHOOL,CAZENOVIA MIDDLE SCHOOL,Madison,Public School,60,No,0,0,0,60,Yes,09/23/2016,60,0,Yes,Yes,02/07/2017,cazenoviacsd.com,250201060001,31 EMORY AVE,CAZENOVIA,NY,13035,10/31/2018,10/09/2018,"(42.986917, -75.720031)","31 EMORY AVE
CAZENOVIA, NY 13035
(42.933265522000056, -75.85815149999996)"
EAST MEADOW UNION FREE SCHOOL,BOWLING GREEN SCHOOL,Nassau,Public School,76,No,62,0,0,14,Yes,08/26/2017,76,0,Yes,Yes,09/07/2017,eastmeadow.k12.ny.us,280203030002,2340 STEWART AVE,WESTBURY,NY,11590,10/01/2018,10/01/2018,"(40.715749, -73.601185)","2340 STEWART AVE
WESTBURY, NY 11590
(40.74491559200004, -73.55941549499994)"
COMMACK UNION FREE SCHOOL,COMMACK MIDDLE SCHOOL,Suffolk,Public School,436,No,98,0,0,304,Yes,10/29/2016,426,10,Yes,Yes,10/29/2016,http://www.commackschools.org/WaterTestingResults.aspx,580410030019,VANDERBILT PKY,COMMACK,NY,11725,10/22/2018,10/19/2018,"(40.820237, -73.119032)","VANDERBILT PKY
COMMACK, NY 11725
(40.81323854900006, -73.33232999899997)"
BRASHER FALLS CENT SCH DIST,ST LAWRENCE J S H S,Saint Lawrence,Public School,124,No,0,0,0,124,Yes,10/17/2016,124,0,Yes,Yes,03/07/2017,http://www.bfcsd.org/SLHigh.cfm,510101040003,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,12/29/2016,09/27/2018,"(44.689468, -75.242045)","1039 STATE HWY 11C
BRASHER FALLS, NY 13613
(44.803166385000054, -74.76602665199994)"
DEPOSIT CENTRAL SCHOOL DISTRICT,DEPOSIT ES,Broome,Public School,110,No,0,0,0,110,Yes,09/21/2016,110,0,Yes,Yes,12/14/2016,www.depositcsd.org,031301040002,171 SECOND ST,DEPOSIT,NY,13754,10/25/2016,10/15/2018,"(42.122015, -75.933191)","171 SECOND ST
DEPOSIT, NY 13754
(42.06247435900008, -75.42290731999998)"
EAST RAMAPO CENTRAL SCHOOL,FLEETWOOD ELEM SCHOOL,Rockland,Public School,94,No,0,64,0,9,Yes,11/09/2016,67,27,Yes,Yes,11/09/2016,wwwercsd.org,500402060001,22 FLEETWOOD AVE,SPRING VALLEY,NY,10977,11/02/2018,11/02/2018,"(41.127287, -74.017033)","22 FLEETWOOD AVE
SPRING VALLEY, NY 10977
(41.07315965600003, -74.05947889599997)"
CAMDEN CENTRAL SCHOOL,ANNSVILLE AREA SCHOOL (closed 2018; leave in for lead reporting),Oneida,Public School,57,No,0,0,0,57,Yes,09/16/2016,57,0,Yes,Yes,10/09/2016,http://www.camdenschools.org/district/business_office/public_notices___presentations/water_testing/,410601040004,9374 Main Street,TABERG,NY,13471,12/05/2016,12/05/2016,"(43.149482, -75.361773)","9374 Main Street
TABERG, NY 13471
(43.31237150000004, -75.62719644899994)"
ALLEGANY-LIMESTONE CSD,ALLEGANY LIMESTONE ES,Cattaraugus,Public School,85,No,0,0,0,85,Yes,09/21/2016,85,0,Yes,Yes,10/04/2016,alcsny.org,040302060002,120 MAPLE AVE,ALLEGANY,NY,14706,11/10/2016,11/30/2016,"(42.224267, -78.606673)","120 MAPLE AVE
ALLEGANY, NY 14706
(42.09560798800004, -78.49310068299997)"
ALBION CENTRAL SCHOOL,ALBION H S,Orleans,Public School,96,No,0,0,0,96,Yes,10/20/2016,96,0,Yes,Yes,11/23/2016,www.albionk12.org,450101060003,302 EAST AVE,ALBION,NY,14411,11/02/2018,11/02/2018,"(43.248394, -78.218438)","302 EAST AVE
ALBION, NY 14411
(43.24114849800003, -78.18441202799994)"
ALBANY CITY SCHOOL DISTRICT,MONTESSORI MAGNET SCHOOL,Albany,Public School,60,No,0,0,0,60,Yes,09/24/2016,59,1,Yes,Yes,11/10/2016,http://www.albanyschools.com/,010100010014,65 Tremont Street,ALBANY,NY,12205,11/16/2016,11/16/2016,"(42.678066, -73.814233)","65 Tremont Street
ALBANY, NY 12205
(42.68266150800008, -73.80108203899994)"
BRENTWOOD UNION FREE SCHOOL,EAST MIDDLE SCHOOL,Suffolk,Public School,33,No,18,0,0,15,Yes,02/23/2017,33,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030020,70 HILLTOP DR,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","70 HILLTOP DR
BRENTWOOD, NY 11717
(40.782143063000035, -73.23285148099995)"
EDGEMONT UFS GREENBURGH,GREENVILLE SCHOOL,Westchester,Public School,92,No,10,0,0,82,Yes,10/25/2016,84,3,Yes,Yes,11/13/2016,www.edgemont.org,660406030001,100 GLENDALE RD,SCARSDALE,NY,10583,10/25/2016,10/03/2018,"(41.039278, -73.805386)","100 GLENDALE RD
SCARSDALE, NY 10583
(40.99934680900003, -73.82584663499995)"
ADIRONDACK CENT SCH-BOONVILLE,BOONVILLE ELEMENTARY SCHOOL,Oneida,Public School,25,No,8,0,0,17,Yes,11/01/2016,24,0,No,Yes,03/06/2017,www.adirondackcsd.org,410401060004,110 FORD ST,BOONVILLE,NY,13309,11/04/2016,03/09/2017,"(43.149482, -75.361773)","110 FORD ST
BOONVILLE, NY 13309
(43.48297255400007, -75.33677952499994)"
CHAZY UNION FREE SCHOOL,CHAZY CENTRAL RURAL JSHS,Clinton,Public School,123,No,0,0,0,123,Yes,09/24/2016,28,2,Yes,Yes,11/15/2016,www.chazy.org,090601020002,609 MINER FARM RD,CHAZY,NY,12921,11/10/2016,11/15/2016,"(44.731944, -73.548883)","609 MINER FARM RD
CHAZY, NY 12921
(44.88791463900003, -73.43229859599995)"
CONNETQUOT CENT SCH OF ISLIP,EDWARD J BOSTI ELEM SCHOOL,Suffolk,Public School,42,No,40,0,0,2,Yes,05/03/2017,42,0,Yes,Yes,08/28/2017,http://www.ccsdli.org/departments/plant_and_facilities,580507060009,BOURNE BLVD,BOHEMIA,NY,11716,10/12/2018,10/12/2018,"(40.820237, -73.119032)","BOURNE BLVD
BOHEMIA, NY 11716
(40.75032718800003, -73.10839297099994)"
CHURCHVILLE CHILI CENTRAL SCHOOL,CHURCHVILLE ELEM SCHOOL,Monroe,Public School,75,No,27,0,0,48,Yes,09/24/2016,75,0,No,Yes,08/04/2017,http://www.cccsd.org/Departments.cfm?subpage=22082,261501060003,36 W BUFFALO ST,CHURCHVILLE,NY,14428,11/07/2016,08/13/2018,"(43.161748, -77.620143)","36 W BUFFALO ST
CHURCHVILLE, NY 14428
(43.10442446300004, -77.88705108799996)"
BOCES No District Name,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,Albany,BOCES School,212,No,0,0,0,212,Yes,10/18/2016,184,28,Yes,Yes,11/30/2016,https://www.capitalregionboces.org/,019000000000,900 WATERVLIET SHAKER ROAD,ALBANY,NY,12205,09/21/2018,12/05/2016,"(42.678066, -73.814233)","900 WATERVLIET SHAKER ROAD
ALBANY, NY 12205
(42.738812540000026, -73.82334056299999)"
BOCES No District Name,MONROE #1 BOCES/ALTERNATIVE LEARNING ACADEMY/START PROGRAM,Monroe,BOCES School,22,No,20,0,0,2,Yes,04/18/2017,22,0,Yes,Yes,05/02/2017,https://www.monroe.edu/Domain/1516,261300000001,25 O'CONNOR RD,FAIRPORT,NY,14450,09/25/2018,09/25/2018,"(43.161748, -77.620143)","25 O'CONNOR RD
FAIRPORT, NY 14450
(43.10735983500007, -77.45910843799999)"
EAST ISLIP UNION FREE SCHOOL,EAST ISLIP H S,Suffolk,Public School,44,No,29,0,0,15,Yes,09/27/2017,44,0,Yes,Yes,10/06/2017,www.eischools.org,580503030006,1 REDMEN ST,ISLIP TERRACE,NY,11725,10/12/2018,10/12/2018,"(40.820237, -73.119032)","1 REDMEN ST
ISLIP TERRACE, NY 11725
(40.74978032400003, -73.18453827999997)"
BETHLEHEM CENTRAL SCHOOL DISTRICT,GLENMONT ES,Albany,Public School,90,No,0,0,0,90,Yes,06/16/2017,90,0,Yes,Yes,06/29/2017,www.bethlehemschools.org/bcsd-results-school-water-testing/,010306060004,328 RT 9W,GLENMONT,NY,12077,07/12/2018,07/12/2018,"(42.678066, -73.814233)","328 RT 9W
GLENMONT, NY 12077
(42.60721061400005, -73.79005699099997)"
BOCES No District Name,CAYUGA-ONONDAGA BOCES REGIONAL EDUCATION CTR (LEAD ONLY),Cayuga,BOCES School,55,No,0,0,0,55,Yes,09/22/2016,55,0,Yes,Yes,10/17/2016,www.cayboces.org,059000000023,1879 WEST GENESEE STREET,AUBURN,NY,13021,10/12/2018,11/09/2018,"(42.940095, -76.560755)","1879 WEST GENESEE STREET
AUBURN, NY 13021
(42.91635947000003, -76.61600206799994)"
AMSTERDAM CITY SCHOOLS,WILLIAM H BARKLEY MICROSOCIETY MAGNET SCHOOL,Montgomery,Public School,30,No,9,0,0,19,Yes,09/29/2016,21,9,Yes,Yes,11/07/2016,www.gasd.org,270100010003,66 DE STEFANO ST,AMSTERDAM,NY,12010,11/07/2016,11/07/2016,"(42.933637, -74.341972)","66 DE STEFANO ST
AMSTERDAM, NY 12010
(42.93087028300005, -74.20430334899999)"
EAST IRONDEQUOIT CENTRAL SCHOOL,HELENDALE RD PRIMARY SCHOOL,Monroe,Public School,96,No,96,0,0,0,Yes,05/04/2016,96,0,Yes,Yes,05/04/2016,http://www.eastiron.org/schools/,260801060011,220 HELENDALE RD,ROCHESTER,NY,14609,10/26/2018,10/26/2018,"(43.161748, -77.620143)","220 HELENDALE RD
ROCHESTER, NY 14609
(43.17413389500007, -77.54472336999999)"
DUNDEE CENTRAL SCHOOL,DUNDEE ELEM SCHOOL,Yates,Public School,57,No,57,0,0,0,Yes,09/02/2016,57,0,Yes,Yes,09/27/2016,http://www.dundeecs.org/,680801040002,55 WATER ST,DUNDEE,NY,14837,10/06/2016,10/06/2016,"(42.634338, -77.078311)","55 WATER ST
DUNDEE, NY 14837
(42.527581559000055, -76.97680678299997)"
BETHLEHEM CENTRAL SCHOOL DISTRICT,HAMAGRAEL ES,Albany,Public School,77,No,0,0,0,77,Yes,06/16/2017,77,0,Yes,Yes,06/29/2017,www.bethlehemschools.org/bcsd-results-school-water-testing/,010306060005,1 MCGUFFEY LN,DELMAR,NY,12054,07/12/2018,07/12/2018,"(42.678066, -73.814233)","1 MCGUFFEY LN
DELMAR, NY 12054
(42.608037945000035, -73.82570108199997)"
GATES CHILI CENTRAL SCHOOL,GATES-CHILI MIDDLE SCHOOL,Monroe,Public School,43,No,43,0,0,4,Yes,01/13/2017,34,6,Yes,Yes,01/13/2017,gateschili.org,260401060004,910 WEGMAN ROAD,ROCHESTER,NY,14624,10/12/2018,10/12/2018,"(43.161748, -77.620143)","910 WEGMAN ROAD
ROCHESTER, NY 14624
(43.15298084800003, -77.71134583399999)"
AVERILL PARK CENTRAL SCHOOL,GEORGE WASHINGTON SCHOOL,Rensselaer,Public School,48,No,0,0,0,48,Yes,09/29/2016,48,0,Yes,Yes,11/08/2016,www.averillpark.k12.ny.us,491302060003,344 MENEMSNA LN,TROY,NY,12180,09/19/2018,11/05/2018,"(42.70098, -73.628669)","344 MENEMSNA LN
TROY, NY 12180
(42.71251036600006, -73.63917630799995)"
CLINTON CENTRAL SCHOOL,CLINTON MIDDLE SCHOOL,Oneida,Public School,126,No,126,0,0,0,Yes,07/01/2016,113,13,Yes,Yes,07/15/2016,www.ccs.edu,411101060004,75 CHENANGO AVE,CLINTON,NY,13323,01/10/2017,01/10/2017,"(43.149482, -75.361773)","75 CHENANGO AVE
CLINTON, NY 13323
(43.04996256600003, -75.38060947399998)"
BOCES No District Name,CHAMPLAIN VALLEY EDUCATIONAL SERVICES,Clinton,BOCES School,144,No,0,0,0,144,Yes,09/26/2016,133,11,Yes,Yes,10/11/2016,www.cves.org,099000000000,1585 MILITARY TURNPIKE EXT.,PLATTSBURGH,NY,12901,10/21/2016,10/21/2016,"(44.731944, -73.548883)","1585 MILITARY TURNPIKE EXT.
PLATTSBURGH, NY 12901
(44.694304386000056, -73.51604763899996)"
CLARKSTOWN CENTRAL SCHOOL,STRAWTOWN ELEM SCHOOL,Rockland,Public School,68,No,0,57,57,11,Yes,09/30/2016,62,6,Yes,Yes,10/26/2016,ccsd.edu,500101060016,413 STRAWTOWN RD,WEST NYACK,NY,10994,05/24/2017,11/10/2016,"(41.127287, -74.017033)","413 STRAWTOWN RD
WEST NYACK, NY 10994
(41.12217792100006, -73.96999640499996)"
BALLSTON SPA CENTRAL SCHOOL,WOOD ROAD INTERMEDIATE SCHOOL,Saratoga,Public School,141,No,0,0,0,141,Yes,09/24/2016,138,3,Yes,Yes,11/21/2016,www.bscsd.org,521301060006,300 WOOD RD,BALLSTON SPA,NY,12020,11/22/2016,11/22/2016,"(43.00894, -73.786779)","300 WOOD RD
BALLSTON SPA, NY 12020
(43.00241551400006, -73.86843585899999)"
AKRON CENTRAL SCHOOL,AKRON MIDDLE/HS,Erie,Public School,107,No,0,0,0,107,Yes,09/20/2016,101,6,Yes,Yes,10/21/2016,www.akronschools.org,142101040002,47 BLOOMINGDALE AVE,AKRON,NY,14001,09/27/2018,11/01/2018,"(42.888143, -78.795544)","47 BLOOMINGDALE AVE
AKRON, NY 14001
(43.02409660300003, -78.49156068899998)"
BUFFALO CITY SCHOOLS,PS 81 BUFFALO PUBLIC SCHOOL,Erie,Public School,77,No,0,0,0,77,Yes,09/27/2016,76,1,Yes,Yes,10/14/2016,www.buffaloschools.org,140600010081,140 TACOMA AVE,BUFFALO,NY,14216,01/20/2017,01/20/2017,"(42.888143, -78.795544)","140 TACOMA AVE
BUFFALO, NY 14216
(42.95152546400004, -78.86689183199996)"
COMMACK UNION FREE SCHOOL,INDIAN HOLLOW SCHOOL,Suffolk,Public School,82,No,26,0,0,42,Yes,10/07/2016,81,1,Yes,Yes,01/12/2017,http://www.commackschools.org/default.aspx,580410030005,KINGS PARK RD,COMMACK,NY,11725,11/11/2016,09/27/2018,"(40.820237, -73.119032)","KINGS PARK RD
COMMACK, NY 11725
(40.85471601800003, -73.26560848999998)"
BOCES No District Name,WFL BOCES WAYNE EDUCATION CENTER,Ontario,BOCES School,70,No,0,0,0,70,Yes,10/25/2016,55,11,Yes,Yes,12/09/2016,www.wflboces.org,439000000006,4440 RIDGE RD,WILLIAMSON,NY,14589,11/08/2016,01/27/2017,"(42.894571, -77.252045)","4440 RIDGE RD
WILLIAMSON, NY 14589
(43.23222431600004, -77.17040941499994)"
BATAVIA CITY SCHOOLS,BATAVIA HS,Genesee,Public School,65,No,59,0,0,6,Yes,06/04/2016,59,6,Yes,Yes,08/08/2016,Bataviacsd.org,180300010006,260 State Street,BATAVIA,NY,14020,01/05/2017,11/09/2016,"(43.000121, -78.172679)","260 State Street
BATAVIA, NY 14020
(43.01252158700004, -78.18106384799995)"
BETHLEHEM CENTRAL SCHOOL DISTRICT,EAGLE SCHOOL,Albany,Public School,74,No,0,0,0,74,Yes,06/16/2017,74,0,Yes,Yes,06/29/2017,www.bethlehemschools.org/bcsd-results-school-water-testing/,010306060009,27 VAN DYKE ROAD,DELMAR,NY,12054,07/12/2018,07/12/2018,"(42.678066, -73.814233)","27 VAN DYKE ROAD
DELMAR, NY 12054
(42.610167483000055, -73.85808391699999)"
HOLLAND CENTRAL SCHOOL,HOLLAND HS,Erie,Public School,80,No,0,0,0,85,Yes,10/25/2016,80,0,Yes,Yes,03/20/2017,www.hollandcsd.org,141701040001,103 Canada Street,HOLLAND,NY,14080,09/26/2018,09/26/2018,"(42.888143, -78.795544)","103 Canada Street
HOLLAND, NY 14080
(42.64447236900003, -78.54151959399996)"
EAST RAMAPO CENTRAL SCHOOL,ELMWOOD ELEM SCHOOL,Rockland,Public School,97,No,0,79,0,8,Yes,11/09/2016,83,14,Yes,Yes,11/09/2016,www.ercsd.org,500402060016,43 ROBERT PITT DR,MONSEY,NY,10952,11/02/2018,11/02/2018,"(41.127287, -74.017033)","43 ROBERT PITT DR
MONSEY, NY 10952
(41.11076479600007, -74.06503421099995)"
